"examiner_name","node","node_next","route_application","total_application","appeal_application","interview_application","rce_application"
"CHUO, TONY SHENG HSIANG","Appeal","Allowed","2","88","3","32","53"
"CHUO, TONY SHENG HSIANG","Application Filed","Allowed","6","88","3","32","53"
"CHWASZ, JADE R","Interview","Allowed","31","115","3","62","50"
"CHWASZ, JADE R","Application Filed","Allowed","11","115","3","62","50"
"CHWASZ, JADE R","RCE","Allowed","1","115","3","62","50"
"CHWASZ, JADE R","RCE","Not Allowed","49","115","3","62","50"
"CHWASZ, JADE R","Interview","Not Allowed","31","115","3","62","50"
"CHWASZ, JADE R","Appeal","Not Allowed","3","115","3","62","50"
"CHWASZ, JADE R","Application Filed","Not Allowed","15","115","3","62","50"
"CICCHINO, PATRICK D","RCE","Not Allowed","32","79",,"47","32"
"CICCHINO, PATRICK D","Interview","Not Allowed","17","79",,"47","32"
"CICCHINO, PATRICK D","Interview","Allowed","30","79",,"47","32"
"CICCHINO, PATRICK D","Application Filed","Not Allowed","8","79",,"47","32"
"CICCHINO, PATRICK D","Application Filed","Allowed","34","79",,"47","32"
"CIESLEWICZ, ANETA B","Application Filed","Not Allowed","1","64",,"24","40"
"CIESLEWICZ, ANETA B","Interview","Allowed","6","64",,"24","40"
"CIESLEWICZ, ANETA B","Interview","Not Allowed","18","64",,"24","40"
"CIESLEWICZ, ANETA B","RCE","Not Allowed","40","64",,"24","40"
"CIGNA, JACOB JAMES","Application Filed","Allowed","11","98",,"64","34"
"CIGNA, JACOB JAMES","Application Filed","Not Allowed","22","98",,"64","34"
"CIGNA, JACOB JAMES","Interview","Allowed","38","98",,"64","34"
"CIGNA, JACOB JAMES","RCE","Not Allowed","34","98",,"64","34"
"CIGNA, JACOB JAMES","Interview","Not Allowed","26","98",,"64","34"
"CILZ, NICHOLAS I","Interview","Not Allowed","1","2",,"2",
"CILZ, NICHOLAS I","Interview","Allowed","1","2",,"2",
"CILZ, NICHOLAS I","Application Filed","Not Allowed","1","2",,"2",
"CIRIC, LJILJANA V","RCE","Not Allowed","11","89",,"78","11"
"CIRIC, LJILJANA V","Interview","Allowed","53","89",,"78","11"
"CIRIC, LJILJANA V","Application Filed","Not Allowed","11","89",,"78","11"
"CIRIC, LJILJANA V","Application Filed","Allowed","34","89",,"78","11"
"CIRIC, LJILJANA V","Interview","Not Allowed","25","89",,"78","11"
"CIRNU, ALEXANDRU","Interview","Not Allowed","75","164","3","104","57"
"CIRNU, ALEXANDRU","Appeal","Not Allowed","3","164","3","104","57"
"CIRNU, ALEXANDRU","Interview","Allowed","29","164","3","104","57"
"CIRNU, ALEXANDRU","RCE","Not Allowed","57","164","3","104","57"
"CIRNU, ALEXANDRU","Application Filed","Not Allowed","16","164","3","104","57"
"CIVAN, ETHAN D","Application Filed","Allowed","13","19",,"17","2"
"CIVAN, ETHAN D","Interview","Allowed","15","19",,"17","2"
"CIVAN, ETHAN D","Interview","Not Allowed","2","19",,"17","2"
"CIVAN, ETHAN D","RCE","Not Allowed","2","19",,"17","2"
"CIVAN, ETHAN D","Application Filed","Not Allowed","2","19",,"17","2"
"CLARE, MARK C","Interview","Not Allowed","51","85",,"53","32"
"CLARE, MARK C","Application Filed","Not Allowed","8","85",,"53","32"
"CLARE, MARK C","RCE","Not Allowed","32","85",,"53","32"
"CLARE, MARK C","Interview","Allowed","2","85",,"53","32"
"CLARK, AMY LYNN","Appeal","Not Allowed","2","85","4","38","43"
"CLARK, AMY LYNN","Appeal","Allowed","2","85","4","38","43"
"CLARK, AMY LYNN","Application Filed","Not Allowed","24","85","4","38","43"
"CLARK, AMY LYNN","Interview","Allowed","15","85","4","38","43"
"CLARK, AMY LYNN","Application Filed","Allowed","2","85","4","38","43"
"CLARK, AMY LYNN","Interview","Not Allowed","23","85","4","38","43"
"CLARK, AMY LYNN","RCE","Not Allowed","43","85","4","38","43"
"CLARK, CHRISTOPHER JAY","RCE","Not Allowed","17","79",,"62","17"
"CLARK, CHRISTOPHER JAY","Interview","Not Allowed","7","79",,"62","17"
"CLARK, CHRISTOPHER JAY","Application Filed","Allowed","31","79",,"62","17"
"CLARK, CHRISTOPHER JAY","Interview","Allowed","55","79",,"62","17"
"CLARK, CHRISTOPHER JAY","Application Filed","Not Allowed","9","79",,"62","17"
"CLARK, GREGORY D","Application Filed","Allowed","70","109",,"52","57"
"CLARK, GREGORY D","Application Filed","Not Allowed","7","109",,"52","57"
"CLARK, GREGORY D","Interview","Allowed","40","109",,"52","57"
"CLARK, GREGORY D","Interview","Not Allowed","12","109",,"52","57"
"CLARK, GREGORY D","RCE","Not Allowed","57","109",,"52","57"
"CLARK, JASMINE JHIHAN B","Application Filed","Allowed","57","67",,"49","18"
"CLARK, JASMINE JHIHAN B","RCE","Not Allowed","18","67",,"49","18"
"CLARK, JASMINE JHIHAN B","Interview","Not Allowed","12","67",,"49","18"
"CLARK, JASMINE JHIHAN B","Application Filed","Not Allowed","4","67",,"49","18"
"CLARK, JASMINE JHIHAN B","Interview","Allowed","37","67",,"49","18"
"CLARK, RYAN C","Application Filed","Not Allowed","7","68",,"49","19"
"CLARK, RYAN C","RCE","Not Allowed","19","68",,"49","19"
"CLARK, RYAN C","Interview","Allowed","30","68",,"49","19"
"CLARK, RYAN C","Application Filed","Allowed","9","68",,"49","19"
"CLARK, RYAN C","Interview","Not Allowed","19","68",,"49","19"
"CLARK, RYAN T","Application Filed","Not Allowed","5","54",,"23","31"
"CLARK, RYAN T","Application Filed","Allowed","3","54",,"23","31"
"CLARK, RYAN T","Interview","Not Allowed","21","54",,"23","31"
"CLARK, RYAN T","RCE","Not Allowed","31","54",,"23","31"
"CLARK, RYAN T","Interview","Allowed","2","54",,"23","31"
"CLARK, SHEILA V","Appeal","Allowed","1","9","1","1","7"
"CLARK, SHEILA V","Application Filed","Allowed","70","9","1","1","7"
"CLARK, SHEILA V","Application Filed","Not Allowed","2","9","1","1","7"
"CLARK, SHEILA V","Interview","Allowed","1","9","1","1","7"
"CLARK, SHEILA V","RCE","Not Allowed","7","9","1","1","7"
"CLARK-ACKUN, DORIS","Application Filed","Allowed","699","1",,"1",
"CLARK-ACKUN, DORIS","Interview","Allowed","1","1",,"1",
"CLARKE  JR, ROBERT T","Interview","Not Allowed","18","117",,"92","25"
"CLARKE  JR, ROBERT T","RCE","Not Allowed","25","117",,"92","25"
"CLARKE  JR, ROBERT T","Application Filed","Not Allowed","4","117",,"92","25"
"CLARKE  JR, ROBERT T","Application Filed","Allowed","5","117",,"92","25"
"CLARKE  JR, ROBERT T","Interview","Allowed","74","117",,"92","25"
"CLARKE, ADAM S","Application Filed","Allowed","11","58",,"27","31"
"CLARKE, ADAM S","RCE","Not Allowed","31","58",,"27","31"
"CLARKE, ADAM S","Application Filed","Not Allowed","7","58",,"27","31"
"CLARKE, ADAM S","Interview","Allowed","13","58",,"27","31"
"CLARKE, ADAM S","Interview","Not Allowed","14","58",,"27","31"
"CLARKE, SARA SACHIE","Application Filed","Not Allowed","2","16",,"10","6"
"CLARKE, SARA SACHIE","Interview","Allowed","3","16",,"10","6"
"CLARKE, SARA SACHIE","RCE","Not Allowed","6","16",,"10","6"
"CLARKE, SARA SACHIE","Interview","Not Allowed","7","16",,"10","6"
"CLARKE, TRENT R","Interview","Not Allowed","19","63","3","35","25"
"CLARKE, TRENT R","Application Filed","Not Allowed","11","63","3","35","25"
"CLARKE, TRENT R","Interview","Allowed","16","63","3","35","25"
"CLARKE, TRENT R","RCE","Not Allowed","25","63","3","35","25"
"CLARKE, TRENT R","Appeal","Not Allowed","3","63","3","35","25"
"CLARKE, TRENT R","Application Filed","Allowed","1","63","3","35","25"
"CLARY, KAYLA ELAINE","Interview","Allowed","1","1",,"1",
"CLASS-QUINONES, JOSE O","Interview","Allowed","35","91","3","62","26"
"CLASS-QUINONES, JOSE O","Appeal","Not Allowed","3","91","3","62","26"
"CLASS-QUINONES, JOSE O","Application Filed","Not Allowed","16","91","3","62","26"
"CLASS-QUINONES, JOSE O","Interview","Not Allowed","27","91","3","62","26"
"CLASS-QUINONES, JOSE O","RCE","Not Allowed","26","91","3","62","26"
"CLASS-QUINONES, JOSE O","Application Filed","Allowed","6","91","3","62","26"
"CLAWSON, STEPHEN J","Application Filed","Not Allowed","6","141","2","70","69"
"CLAWSON, STEPHEN J","RCE","Allowed","1","141","2","70","69"
"CLAWSON, STEPHEN J","Application Filed","Allowed","12","141","2","70","69"
"CLAWSON, STEPHEN J","Appeal","Not Allowed","2","141","2","70","69"
"CLAWSON, STEPHEN J","Interview","Allowed","24","141","2","70","69"
"CLAWSON, STEPHEN J","RCE","Not Allowed","68","141","2","70","69"
"CLAWSON, STEPHEN J","Interview","Not Allowed","46","141","2","70","69"
"CLAYTOR, DEIRDRE RENEE","Interview","Not Allowed","8","14","2","8","4"
"CLAYTOR, DEIRDRE RENEE","RCE","Not Allowed","4","14","2","8","4"
"CLAYTOR, DEIRDRE RENEE","Application Filed","Not Allowed","9","14","2","8","4"
"CLAYTOR, DEIRDRE RENEE","Appeal","Not Allowed","2","14","2","8","4"
"CLEARY, THOMAS J","Appeal","Allowed","3","117","3","70","44"
"CLEARY, THOMAS J","RCE","Not Allowed","44","117","3","70","44"
"CLEARY, THOMAS J","Interview","Allowed","44","117","3","70","44"
"CLEARY, THOMAS J","Interview","Not Allowed","26","117","3","70","44"
"CLEARY, THOMAS J","Application Filed","Not Allowed","7","117","3","70","44"
"CLEARY, THOMAS J","Application Filed","Allowed","12","117","3","70","44"
"CLEMENT, EMILY CECILIA","Interview","Not Allowed","1","1",,"1",
"CLEMENT, MICHELLE RENEE","Appeal","Allowed","1","66","4","29","33"
"CLEMENT, MICHELLE RENEE","Appeal","Not Allowed","3","66","4","29","33"
"CLEMENT, MICHELLE RENEE","Interview","Not Allowed","12","66","4","29","33"
"CLEMENT, MICHELLE RENEE","Interview","Allowed","17","66","4","29","33"
"CLEMENT, MICHELLE RENEE","Application Filed","Allowed","22","66","4","29","33"
"CLEMENT, MICHELLE RENEE","RCE","Not Allowed","33","66","4","29","33"
"CLEMENT, MICHELLE RENEE","Application Filed","Not Allowed","23","66","4","29","33"
"CLEMENTE, ROBERT ARTHUR","Application Filed","Not Allowed","15","64","2","35","27"
"CLEMENTE, ROBERT ARTHUR","RCE","Not Allowed","27","64","2","35","27"
"CLEMENTE, ROBERT ARTHUR","Application Filed","Allowed","32","64","2","35","27"
"CLEMENTE, ROBERT ARTHUR","Interview","Allowed","25","64","2","35","27"
"CLEMENTE, ROBERT ARTHUR","Interview","Not Allowed","10","64","2","35","27"
"CLEMENTE, ROBERT ARTHUR","Appeal","Not Allowed","2","64","2","35","27"
"CLEMMONS, STEVE M","Application Filed","Not Allowed","26","75","2","40","33"
"CLEMMONS, STEVE M","Interview","Not Allowed","20","75","2","40","33"
"CLEMMONS, STEVE M","Appeal","Allowed","1","75","2","40","33"
"CLEMMONS, STEVE M","Appeal","Not Allowed","1","75","2","40","33"
"CLEMMONS, STEVE M","Interview","Allowed","20","75","2","40","33"
"CLEMMONS, STEVE M","Application Filed","Allowed","20","75","2","40","33"
"CLEMMONS, STEVE M","RCE","Not Allowed","33","75","2","40","33"
"CLERKLEY, DANIELLE A","Interview","Allowed","43","101",,"74","27"
"CLERKLEY, DANIELLE A","RCE","Not Allowed","27","101",,"74","27"
"CLERKLEY, DANIELLE A","Interview","Not Allowed","31","101",,"74","27"
"CLERKLEY, DANIELLE A","Application Filed","Allowed","5","101",,"74","27"
"CLERKLEY, DANIELLE A","Application Filed","Not Allowed","21","101",,"74","27"
"CLEVELAND, MICHAEL B","Application Filed","Not Allowed","1",,,,
"CLEVELAND, TIMOTHY C","RCE","Not Allowed","77","153","3","73","77"
"CLEVELAND, TIMOTHY C","Interview","Not Allowed","50","153","3","73","77"
"CLEVELAND, TIMOTHY C","Interview","Allowed","23","153","3","73","77"
"CLEVELAND, TIMOTHY C","Appeal","Not Allowed","3","153","3","73","77"
"CLEVELAND, TIMOTHY C","Application Filed","Not Allowed","25","153","3","73","77"
"CLEVELAND, TIMOTHY C","Application Filed","Allowed","27","153","3","73","77"
"CLINTON, EVAN GARRETT","Interview","Allowed","20","85","1","43","41"
"CLINTON, EVAN GARRETT","RCE","Not Allowed","41","85","1","43","41"
"CLINTON, EVAN GARRETT","Appeal","Partially Allowed","1","85","1","43","41"
"CLINTON, EVAN GARRETT","Application Filed","Not Allowed","4","85","1","43","41"
"CLINTON, EVAN GARRETT","Application Filed","Allowed","23","85","1","43","41"
"CLINTON, EVAN GARRETT","Interview","Not Allowed","23","85","1","43","41"
"CLOW, LORI A","RCE","Not Allowed","25","74","1","48","25"
"CLOW, LORI A","Appeal","Partially Allowed","1","74","1","48","25"
"CLOW, LORI A","Interview","Allowed","16","74","1","48","25"
"CLOW, LORI A","Interview","Not Allowed","32","74","1","48","25"
"CLOW, LORI A","Application Filed","Not Allowed","4","74","1","48","25"
"COBANOGLU, DILEK B","Appeal","Allowed","1","68","2","34","32"
"COBANOGLU, DILEK B","Interview","Not Allowed","28","68","2","34","32"
"COBANOGLU, DILEK B","Application Filed","Allowed","1","68","2","34","32"
"COBANOGLU, DILEK B","Application Filed","Not Allowed","13","68","2","34","32"
"COBANOGLU, DILEK B","RCE","Not Allowed","32","68","2","34","32"
"COBANOGLU, DILEK B","Appeal","Not Allowed","1","68","2","34","32"
"COBANOGLU, DILEK B","Interview","Allowed","6","68","2","34","32"
"COBB, MATTHEW","Interview","Allowed","38","192",,"113","79"
"COBB, MATTHEW","Application Filed","Not Allowed","6","192",,"113","79"
"COBB, MATTHEW","Interview","Not Allowed","75","192",,"113","79"
"COBB, MATTHEW","RCE","Not Allowed","79","192",,"113","79"
"COBB, MICHAEL J","Application Filed","Allowed","6","157",,"104","53"
"COBB, MICHAEL J","RCE","Not Allowed","53","157",,"104","53"
"COBB, MICHAEL J","Interview","Not Allowed","58","157",,"104","53"
"COBB, MICHAEL J","Application Filed","Not Allowed","6","157",,"104","53"
"COBB, MICHAEL J","Interview","Allowed","46","157",,"104","53"
"COBLE, JAMES T","RCE","Not Allowed","1","11",,"10","1"
"COBLE, JAMES T","Application Filed","Not Allowed","14","11",,"10","1"
"COBLE, JAMES T","Application Filed","Allowed","2","11",,"10","1"
"COBLE, JAMES T","Interview","Allowed","9","11",,"10","1"
"COBLE, JAMES T","Interview","Not Allowed","1","11",,"10","1"
"COBURN, CORBETT B","Interview","Not Allowed","26","93","6","40","47"
"COBURN, CORBETT B","Application Filed","Not Allowed","17","93","6","40","47"
"COBURN, CORBETT B","RCE","Not Allowed","46","93","6","40","47"
"COBURN, CORBETT B","Application Filed","Allowed","52","93","6","40","47"
"COBURN, CORBETT B","RCE","Allowed","1","93","6","40","47"
"COBURN, CORBETT B","Appeal","Allowed","1","93","6","40","47"
"COBURN, CORBETT B","Appeal","Not Allowed","5","93","6","40","47"
"COBURN, CORBETT B","Interview","Allowed","14","93","6","40","47"
"COBY, FRANTZ","Interview","Allowed","39","92","2","67","23"
"COBY, FRANTZ","RCE","Not Allowed","23","92","2","67","23"
"COBY, FRANTZ","Application Filed","Allowed","27","92","2","67","23"
"COBY, FRANTZ","Interview","Not Allowed","28","92","2","67","23"
"COBY, FRANTZ","Appeal","Not Allowed","2","92","2","67","23"
"COBY, FRANTZ","Application Filed","Not Allowed","8","92","2","67","23"
"COCCHI, MICHAEL EDWARD","Application Filed","Allowed","1","98","3","44","51"
"COCCHI, MICHAEL EDWARD","Appeal","Partially Allowed","1","98","3","44","51"
"COCCHI, MICHAEL EDWARD","RCE","Not Allowed","51","98","3","44","51"
"COCCHI, MICHAEL EDWARD","Application Filed","Not Allowed","3","98","3","44","51"
"COCCHI, MICHAEL EDWARD","Interview","Not Allowed","42","98","3","44","51"
"COCCHI, MICHAEL EDWARD","Appeal","Not Allowed","2","98","3","44","51"
"COCCHI, MICHAEL EDWARD","Interview","Allowed","2","98","3","44","51"
"COCHRAN, BRIDGET A","Interview","Not Allowed","4","21",,"16","5"
"COCHRAN, BRIDGET A","RCE","Not Allowed","5","21",,"16","5"
"COCHRAN, BRIDGET A","Application Filed","Not Allowed","4","21",,"16","5"
"COCHRAN, BRIDGET A","Interview","Allowed","12","21",,"16","5"
"COCHRAN, BRIDGET A","Application Filed","Allowed","5","21",,"16","5"
"CODRINGTON, PAIGE ALEXANDRIA","Interview","Allowed","13","19",,"18","1"
"CODRINGTON, PAIGE ALEXANDRIA","RCE","Not Allowed","1","19",,"18","1"
"CODRINGTON, PAIGE ALEXANDRIA","Interview","Not Allowed","5","19",,"18","1"
"CODRINGTON, PAIGE ALEXANDRIA","Application Filed","Allowed","5","19",,"18","1"
"CODUROGLU, JALAL C","Application Filed","Allowed","22","158","4","87","67"
"CODUROGLU, JALAL C","Interview","Not Allowed","59","158","4","87","67"
"CODUROGLU, JALAL C","Appeal","Not Allowed","2","158","4","87","67"
"CODUROGLU, JALAL C","Appeal","Partially Allowed","1","158","4","87","67"
"CODUROGLU, JALAL C","RCE","Not Allowed","67","158","4","87","67"
"CODUROGLU, JALAL C","Interview","Allowed","28","158","4","87","67"
"CODUROGLU, JALAL C","Application Filed","Not Allowed","6","158","4","87","67"
"CODUROGLU, JALAL C","Appeal","Allowed","1","158","4","87","67"
"COFFA, SERGIO","Appeal","Allowed","4","180","12","78","90"
"COFFA, SERGIO","Appeal","Not Allowed","8","180","12","78","90"
"COFFA, SERGIO","RCE","Not Allowed","90","180","12","78","90"
"COFFA, SERGIO","Application Filed","Not Allowed","15","180","12","78","90"
"COFFA, SERGIO","Interview","Allowed","40","180","12","78","90"
"COFFA, SERGIO","Interview","Not Allowed","38","180","12","78","90"
"COFINO, JONATHAN M","Application Filed","Allowed","9","87","1","47","39"
"COFINO, JONATHAN M","Interview","Allowed","18","87","1","47","39"
"COFINO, JONATHAN M","Appeal","Not Allowed","1","87","1","47","39"
"COFINO, JONATHAN M","Application Filed","Not Allowed","5","87","1","47","39"
"COFINO, JONATHAN M","RCE","Not Allowed","39","87","1","47","39"
"COFINO, JONATHAN M","Interview","Not Allowed","29","87","1","47","39"
"COHEN, BRIAN W","Interview","Allowed","108","167","1","130","36"
"COHEN, BRIAN W","Interview","Not Allowed","22","167","1","130","36"
"COHEN, BRIAN W","Application Filed","Not Allowed","11","167","1","130","36"
"COHEN, BRIAN W","RCE","Not Allowed","36","167","1","130","36"
"COHEN, BRIAN W","Appeal","Not Allowed","1","167","1","130","36"
"COHEN, BRIAN W","Application Filed","Allowed","20","167","1","130","36"
"COHEN, HARVEY I","Application Filed","Allowed","1",,,,
"COHEN, LEE S","Application Filed","Not Allowed","2","13",,"2","11"
"COHEN, LEE S","RCE","Not Allowed","11","13",,"2","11"
"COHEN, LEE S","Application Filed","Allowed","1","13",,"2","11"
"COHEN, LEE S","Interview","Allowed","2","13",,"2","11"
"COHEN, MICHAEL P","Interview","Not Allowed","64","188","4","99","85"
"COHEN, MICHAEL P","RCE","Not Allowed","85","188","4","99","85"
"COHEN, MICHAEL P","Application Filed","Allowed","9","188","4","99","85"
"COHEN, MICHAEL P","Interview","Allowed","35","188","4","99","85"
"COHEN, MICHAEL P","Application Filed","Not Allowed","30","188","4","99","85"
"COHEN, MICHAEL P","Appeal","Not Allowed","2","188","4","99","85"
"COHEN, MICHAEL P","Appeal","Allowed","2","188","4","99","85"
"COHEN, STEFANIE J","Interview","Not Allowed","30","103","1","43","59"
"COHEN, STEFANIE J","Interview","Allowed","13","103","1","43","59"
"COHEN, STEFANIE J","Application Filed","Not Allowed","18","103","1","43","59"
"COHEN, STEFANIE J","Appeal","Allowed","1","103","1","43","59"
"COHEN, STEFANIE J","RCE","Not Allowed","59","103","1","43","59"
"COHEN, STEFANIE J","Application Filed","Allowed","12","103","1","43","59"
"COHEN, YARON","Appeal","Not Allowed","2","142","2","90","50"
"COHEN, YARON","Application Filed","Allowed","2","142","2","90","50"
"COHEN, YARON","Interview","Not Allowed","34","142","2","90","50"
"COHEN, YARON","Application Filed","Not Allowed","5","142","2","90","50"
"COHEN, YARON","Interview","Allowed","56","142","2","90","50"
"COHEN, YARON","RCE","Not Allowed","50","142","2","90","50"
"COLAN, GINO","Application Filed","Not Allowed","5","91",,"91",
"COLAN, GINO","Interview","Allowed","85","91",,"91",
"COLAN, GINO","Application Filed","Allowed","568","91",,"91",
"COLAN, GINO","Interview","Not Allowed","6","91",,"91",
"COLAN, GIOVANNA B","Application Filed","Allowed","5","92","3","53","36"
"COLAN, GIOVANNA B","Interview","Not Allowed","34","92","3","53","36"
"COLAN, GIOVANNA B","Appeal","Not Allowed","1","92","3","53","36"
"COLAN, GIOVANNA B","RCE","Not Allowed","36","92","3","53","36"
"COLAN, GIOVANNA B","Application Filed","Not Allowed","3","92","3","53","36"
"COLAN, GIOVANNA B","Interview","Allowed","19","92","3","53","36"
"COLAN, GIOVANNA B","Appeal","Allowed","2","92","3","53","36"
"COLE, BRANDON S","Application Filed","Not Allowed","8","136","4","84","48"
"COLE, BRANDON S","RCE","Not Allowed","48","136","4","84","48"
"COLE, BRANDON S","Appeal","Not Allowed","4","136","4","84","48"
"COLE, BRANDON S","Interview","Not Allowed","57","136","4","84","48"
"COLE, BRANDON S","Application Filed","Allowed","17","136","4","84","48"
"COLE, BRANDON S","Interview","Allowed","27","136","4","84","48"
"COLELLO, ERIN L","Interview","Not Allowed","1","1",,"1",
"COLELLO, ERIN L","Application Filed","Not Allowed","1","1",,"1",
"COLEMAN, BRENDA LIBBY","Appeal","Allowed","1","100","2","30","68"
"COLEMAN, BRENDA LIBBY","Application Filed","Allowed","37","100","2","30","68"
"COLEMAN, BRENDA LIBBY","Application Filed","Not Allowed","28","100","2","30","68"
"COLEMAN, BRENDA LIBBY","Appeal","Not Allowed","1","100","2","30","68"
"COLEMAN, BRENDA LIBBY","RCE","Not Allowed","68","100","2","30","68"
"COLEMAN, BRENDA LIBBY","Interview","Allowed","23","100","2","30","68"
"COLEMAN, BRENDA LIBBY","Interview","Not Allowed","7","100","2","30","68"
"COLEMAN, CHARLES P.","Interview","Allowed","4","92","4","54","34"
"COLEMAN, CHARLES P.","RCE","Not Allowed","34","92","4","54","34"
"COLEMAN, CHARLES P.","Appeal","Not Allowed","3","92","4","54","34"
"COLEMAN, CHARLES P.","Application Filed","Not Allowed","16","92","4","54","34"
"COLEMAN, CHARLES P.","Application Filed","Allowed","2","92","4","54","34"
"COLEMAN, CHARLES P.","Interview","Not Allowed","50","92","4","54","34"
"COLEMAN, CHARLES P.","Appeal","Allowed","1","92","4","54","34"
"COLEMAN, ERIC","Interview","Allowed","45","88",,"58","30"
"COLEMAN, ERIC","Application Filed","Allowed","64","88",,"58","30"
"COLEMAN, ERIC","RCE","Not Allowed","30","88",,"58","30"
"COLEMAN, ERIC","Application Filed","Not Allowed","3","88",,"58","30"
"COLEMAN, ERIC","Interview","Not Allowed","13","88",,"58","30"
"COLEMAN, RYAN L","Interview","Not Allowed","38","177","4","127","46"
"COLEMAN, RYAN L","Appeal","Allowed","1","177","4","127","46"
"COLEMAN, RYAN L","Application Filed","Not Allowed","5","177","4","127","46"
"COLEMAN, RYAN L","Appeal","Not Allowed","3","177","4","127","46"
"COLEMAN, RYAN L","RCE","Not Allowed","46","177","4","127","46"
"COLEMAN, RYAN L","Interview","Allowed","89","177","4","127","46"
"COLEMAN, STEPHEN P","Application Filed","Allowed","83","218","4","130","84"
"COLEMAN, STEPHEN P","Interview","Allowed","64","218","4","130","84"
"COLEMAN, STEPHEN P","Appeal","Allowed","2","218","4","130","84"
"COLEMAN, STEPHEN P","Interview","Not Allowed","66","218","4","130","84"
"COLEMAN, STEPHEN P","RCE","Allowed","1","218","4","130","84"
"COLEMAN, STEPHEN P","Application Filed","Not Allowed","9","218","4","130","84"
"COLEMAN, STEPHEN P","Appeal","Not Allowed","2","218","4","130","84"
"COLEMAN, STEPHEN P","RCE","Not Allowed","83","218","4","130","84"
"COLEMAN, WILLIAM D","Interview","Not Allowed","3","48",,"36","12"
"COLEMAN, WILLIAM D","RCE","Not Allowed","12","48",,"36","12"
"COLEMAN, WILLIAM D","Interview","Allowed","33","48",,"36","12"
"COLEMAN, WILLIAM D","Application Filed","Allowed","96","48",,"36","12"
"COLEMAN, WILLIAM D","Application Filed","Not Allowed","1","48",,"36","12"
"COLEY, ZADE JAMES","Interview","Allowed","52","126","4","78","44"
"COLEY, ZADE JAMES","Appeal","Allowed","2","126","4","78","44"
"COLEY, ZADE JAMES","Application Filed","Allowed","8","126","4","78","44"
"COLEY, ZADE JAMES","RCE","Not Allowed","44","126","4","78","44"
"COLEY, ZADE JAMES","Appeal","Not Allowed","2","126","4","78","44"
"COLEY, ZADE JAMES","Application Filed","Not Allowed","5","126","4","78","44"
"COLEY, ZADE JAMES","Interview","Not Allowed","26","126","4","78","44"
"COLGAN, LAUREN ROBINSON","Application Filed","Not Allowed","20","245",,"129","116"
"COLGAN, LAUREN ROBINSON","Interview","Not Allowed","33","245",,"129","116"
"COLGAN, LAUREN ROBINSON","RCE","Allowed","2","245",,"129","116"
"COLGAN, LAUREN ROBINSON","RCE","Not Allowed","114","245",,"129","116"
"COLGAN, LAUREN ROBINSON","Interview","Allowed","96","245",,"129","116"
"COLGAN, LAUREN ROBINSON","Application Filed","Allowed","30","245",,"129","116"
"COLILLA, DANIEL JAMES","RCE","Not Allowed","20","128",,"108","20"
"COLILLA, DANIEL JAMES","Interview","Not Allowed","50","128",,"108","20"
"COLILLA, DANIEL JAMES","Application Filed","Not Allowed","63","128",,"108","20"
"COLILLA, DANIEL JAMES","Application Filed","Allowed","13","128",,"108","20"
"COLILLA, DANIEL JAMES","Interview","Allowed","58","128",,"108","20"
"COLIN, CARL G","Application Filed","Not Allowed","1",,,,
"COLLADO, CYNTHIA FRANCISCA","Interview","Not Allowed","1","2",,"1","1"
"COLLADO, CYNTHIA FRANCISCA","Application Filed","Allowed","1","2",,"1","1"
"COLLADO, CYNTHIA FRANCISCA","RCE","Not Allowed","1","2",,"1","1"
"COLLIER, AUSTIN W","Interview","Not Allowed","1","1",,"1",
"COLLIER, AUSTIN W","Application Filed","Not Allowed","1","1",,"1",
"COLLIER, JAMESON D","Interview","Not Allowed","37","105","3","76","26"
"COLLIER, JAMESON D","Appeal","Not Allowed","3","105","3","76","26"
"COLLIER, JAMESON D","Interview","Allowed","39","105","3","76","26"
"COLLIER, JAMESON D","Application Filed","Not Allowed","22","105","3","76","26"
"COLLIER, JAMESON D","RCE","Not Allowed","26","105","3","76","26"
"COLLINS, CYNTHIA E","Interview","Not Allowed","10","48",,"29","19"
"COLLINS, CYNTHIA E","RCE","Not Allowed","19","48",,"29","19"
"COLLINS, CYNTHIA E","Application Filed","Not Allowed","10","48",,"29","19"
"COLLINS, CYNTHIA E","Interview","Allowed","19","48",,"29","19"
"COLLINS, CYNTHIA E","Application Filed","Allowed","40","48",,"29","19"
"COLLINS, DANIEL S.","Interview","Allowed","7","27",,"12","15"
"COLLINS, DANIEL S.","RCE","Not Allowed","15","27",,"12","15"
"COLLINS, DANIEL S.","Application Filed","Not Allowed","7","27",,"12","15"
"COLLINS, DANIEL S.","Interview","Not Allowed","5","27",,"12","15"
"COLLINS, DANIEL S.","Application Filed","Allowed","62","27",,"12","15"
"COLLINS, DARRYL J","Application Filed","Not Allowed","25","82","5","40","37"
"COLLINS, DARRYL J","Interview","Allowed","24","82","5","40","37"
"COLLINS, DARRYL J","Interview","Not Allowed","16","82","5","40","37"
"COLLINS, DARRYL J","Appeal","Not Allowed","2","82","5","40","37"
"COLLINS, DARRYL J","Appeal","Allowed","3","82","5","40","37"
"COLLINS, DARRYL J","Application Filed","Allowed","54","82","5","40","37"
"COLLINS, DARRYL J","RCE","Not Allowed","37","82","5","40","37"
"COLLINS, DOLORES R","Application Filed","Not Allowed","12","27","1","21","5"
